#######flag: u means the density measurements are upper limits; l means the measurements are lower limits.
#######mdot2_log	mmdot2_log_minus	mmdot2_log_plus	density_log	density_log_minus	density_log_plus	flag
6.553	0.166	0.170	18.4	0.24	1.09	
5.840	0.302	0.685	18.008	0.115	0.316	
8.150	0.496	0.386	17.02	0.06	0.27	
5.768	0.196	0.182	17	0.4	0.2	
7.156	0.540	0.495	16.8	0.2	0.3	
7.080	0.388	0.292	16.6	0.4	0.5	
6.606	0.512	0.509	17.7	0.2	0.3	
6.665	0.770	1.064	18.55	0.07	0.07	
8.435	1.068	1.842	15.8	0.4	0.2	
8.841	0.118	0.111	15.8			u
7.2	0.222	0.228	16.5			u
7.185	0.285	0.247	16.9			u
7.901	0.348	0.266	15.9			u
6.968	0.099	0.097	16			u
7.83	0.136	0.115	15.6			u
5.377	0.752	0.531	18			u
7.204	0.586	0.524	18.7			l
6	2	2	16.7	0.3	0.7	
-1.48	0	0	20.5998	0.02	0.03	
7.806	1.055	1.107	15.2			u
6.8449	0.2	0.23	18.2			l
6.7	1.4	0.8	18.7			l
-0.72			20.6	0.4	0.2	
-0.8			20.64	0.16	0.13	
-0.92			21.1	0.4	0.2	
-1.14			21.49	0.14	0.13	
-1.44			20.82	0.31	0.15	
-2.04			21.45	0.06	0.13	
1.28			18.93	0.12	0.16	
-1.44			21.02	0.22	0.2	
-1			21.25	0.23	0.17	
-0.62			21.15	0.15	0.15	
-0.38			20.93	0.12	0.08	
-1.94			21.57	0.2	0.17	
-1.796			19.8	0.209	0.311	
-1.694			19.9	0.124	0.073	
-1.602			19.7	0.189	0.439	
-1.444			19.8	0.179	0.180	
-1.602			20.2	0.246	0.234	
-1.629			20.6	0.176	0.372	
-2.204			20.2	0.222	0.176	
6.496	0.993	0.903	17.8			l
6.752	1.062	0.749	16.3			l
6.113	0.739	0.798	16.4	1.3	0.9	
6.459	1.141	0.762	17			u
6.453	0.866	0.738	19.9			l
6.925	1.013	0.937	17	1.5	0.8	
8.169	0.814	0.713	17.6			u
4.754	0.736	0.950	17			u
6.612	0.903	0.912	18	0.7	0.7	
6.113	0.739	0.870	17.1	0.2	0.3	
5.097	1.033	0.810	19.1			u
4.754	0.736	0.798	18.1			u
5.650	0.868	0.633	17.6	0.5	1.1	
0.256			21.934			l
0.291			21.207	0.051	0.096	
0.344			20.756	0.057	0.043	
0.381			20.724	0.043	0.032	
0.391			20.643	0.031	0.047	
0.416			20.732	0.033	0.023	
0.400			20.748	0.032	0.030	
0.201	0.157	0.116	19.021	0.410	0.414	
0.892	0.482	1.329	19.488	1.404	1.149	
2.472	0.428	0.221	18.941			u
2.711	0.430	0.210	19.488	1.498	0.976	
-0.515	0.397	0.484	18.623			u
-0.303	0.381	0.199	20.993	0.567	0.020	
-0.087	0.385	0.202	20.219			u
0.451	0.122	0.220	21.326	5.249	0.094	
0.585	0.131	0.093	19.535			u
0.543	0.113	0.095	21.361			u
0.218	0.114	0.147	20.144			l
0.699	0.108	0.087	19.005	0.862	0.883	
0.645	0.115	0.091	20.197	1.274	0.862	
0.613	0.113	0.091	20.942	0.686	0.202	
0.293	0.178	0.088	19.182	1.642	2.078	
0.893	0.141	0.118	19.991	0.879	0.079	
-1.047	0.173	0.683	20.089			l
-0.297	0.073	0.058	21.409	0.286	0.488	
0.275	0.085	0.063	20.532	1.151	0.122	
0.904	0.103	0.073	20.229	0.346	0.285	
1.395	0.144	0.086	20.360	0.316	0.767	
